<37.7927684:-122.4076794>,"765 Stockton Street, San Francisco, CA 94133, USA"
<37.7902259:-122.407156>,"498 Stockton Street, San Francisco, CA 94108, USA"
<37.7885113:-122.4068021>,"260 Stockton Street, San Francisco, CA 94133, USA"
<37.793631:-122.420159>,"1624 Washington Street, San Francisco, CA 94109, USA"
<37.7833216:-122.4060194>,"868 Mission Street, San Francisco, CA 94103, USA"
<37.7937202:-122.4179632>,"1401 Hyde Street, San Francisco, CA 94109, USA"
<37.7787235:-122.4147796>,"1 8th Street, San Francisco, CA 94103, USA"
<37.7774649:-122.4131792>,"99 8th Street, San Francisco, CA 94103, USA"
<37.7831899:-122.4059087>,"870 Mission Street, San Francisco, CA 94103, USA"
<37.7879737:-122.4035157>,"353 Kearny Street, San Francisco, CA 94108, USA"
<37.7916984:-122.4042596>,"398 Kearny Street, San Francisco, CA 94108, USA"
<37.7896487:-122.4205116>,"1401 Polk Street, San Francisco, CA 94109, USA"
<37.793263:-122.4212636>,"1700 Washington Street, San Francisco, CA 94133, USA"
<37.7934239:-122.4201126>,"1624 Washington Street, San Francisco, CA 94109, USA"
<37.7827319:-122.4064925>,"98 5th Street, San Francisco, CA 94103, USA"
<37.7840081:-122.408092>,"899 Market Street, San Francisco, CA 94102, USA"
<37.7863371:-122.4089488>,"265 O'Farrell Street, San Francisco, CA 94102, USA"
<37.7864373:-122.4080959>,"199 O'Farrell Street, San Francisco, CA 94102, USA"
<37.7883216:-122.4084512>,"401 Powell Street, San Francisco, CA 94102, USA"
<37.786562:-122.416182>,"784 Geary Street, San Francisco, CA 94109, USA"
<37.791185:-122.43391>,"2318 Fillmore Street, San Francisco, CA 94115, USA"
<37.7901845:-122.4239979>,"1698 Franklin Street, San Francisco, CA 94109, USA"
<37.7889131:-122.4338632>,"2399 California Street, San Francisco, CA 94115, USA"
<37.7911376:-122.4342585>,"2301-2323 Fillmore Street, San Francisco, CA 94115, USA"
<37.7863729:-122.4161491>,"775-795 Geary Street, San Francisco, CA 94109, USA"
<37.8232894:-122.3644537>,"214-398 4th Street, San Francisco, CA 94130, USA"
<37.7899536:-122.4256339>,"1801 Gough Street, San Francisco, CA 94109, USA"
<37.7880774:-122.4252609>,"1701 Bush Street, San Francisco, CA 94109, USA"
<37.7910528:-122.3991866>,"498 Market Street, San Francisco, CA 94111, USA"
<37.7865635:-122.3935696>,"363 1st Street, San Francisco, CA 94105, USA"
<37.7860527:-122.3929936>,"501 Harrison Street, San Francisco, CA 94105, USA"
<37.7855632:-122.3915584>,"6998 Bayshore Freeway, San Francisco, CA 94107, USA"
<37.8083795:-122.366888>,"San Francisco – Oakland Bay Bridge, San Francisco, CA 94130, USA"
<37.8093742:-122.3699022>,"Treasure Island Road, San Francisco, CA 94130, USA"
<37.8166435:-122.3718343>,"80 Treasure Island Road, San Francisco, CA 94130, USA"
<37.8174258:-122.3723599>,"200 Avenue of the Palms, San Francisco, CA 94130, USA"
<37.8208785:-122.3640673>,"998 California Avenue, San Francisco, CA 94130, USA"
<37.8228937:-122.3653556>,"390 Avenue M, San Francisco, CA 94130, USA"
<37.8232766:-122.3644451>,"214-398 4th Street, San Francisco, CA 94130, USA"
<37.7879556:-122.4336328>,"2000 Fillmore Street, San Francisco, CA 94115, USA"
<37.792089:-122.441543>,"2435 Divisadero Street, San Francisco, CA 94115, USA"
<37.802484:-122.420028>,"2335 Hyde Street, San Francisco, CA 94109, USA"
<37.7989652:-122.4426209>,"Lombard St & Divisadero St, San Francisco, CA 94123, USA"
<37.8020032:-122.4196662>,"2301 Hyde Street, San Francisco, CA 94109, USA"
<37.8025148:-122.4197606>,"2352 Hyde Street, San Francisco, CA 94133, USA"
<37.7833927:-122.4394657>,"2186 Geary Boulevard, San Francisco, CA 94121, USA"
<37.7921232:-122.4412333>,"2424-2498 Divisadero Street, San Francisco, CA 94115, USA"
<37.7849934:-122.4301812>,"1610 Geary Boulevard, Japan Center, Nihonmachi Mall Shopping Center, San Francisco, CA 94115, USA"
<37.8001442:-122.4192906>,"1200 Filbert Street, San Francisco, CA 94109, USA"
<37.7854319:-122.4247159>,"1 Peter Yorke Way, San Francisco, CA 94109, USA"
<37.7847872:-122.4300966>,"1610 Geary Boulevard, Japan Center, Nihonmachi Mall Shopping Center, San Francisco, CA 94115, USA"
<37.7848126:-122.4302148>,"1670-1692 Geary Boulevard, San Francisco, CA 94115, USA"
<37.7969361:-122.4053194>,"198 Columbus Avenue, San Francisco, CA 94133, USA"
<37.8035758:-122.414854>,"957 Columbus Avenue, San Francisco, CA 94133, USA"
<37.8029522:-122.4198413>,"999 Chestnut Street, San Francisco, CA 94109, USA"
<37.7831979:-122.4116212>,"150 Turk Street, San Francisco, CA 94109, USA"
<37.7787293:-122.4385855>,"1701 Golden Gate Avenue, San Francisco, CA 94115, USA"
<37.7832142:-122.4107842>,"101 Taylor Street, San Francisco, CA 94102, USA"
<37.783113:-122.4116044>,"150 Turk Street, San Francisco, CA 94102, USA"
<37.7827911:-122.4140996>,"301 Turk Street, San Francisco, CA 94102, USA"
<37.7845845:-122.3999895>,"230 3rd Street, San Francisco, CA 94103, USA"
<37.7830119:-122.4124237>,"198 Jones Street, San Francisco, CA 94102, USA"
<37.7820851:-122.4122427>,"99 Golden Gate Avenue, San Francisco, CA 94102, USA"
<37.7822346:-122.4103306>,"2 Golden Gate Avenue, San Francisco, CA 94102, USA"
<37.7785241:-122.4056342>,"299 6th Street, San Francisco, CA 94103, USA"
<37.7838038:-122.3989875>,"698 Folsom Street, San Francisco, CA 94107, USA"
<37.7845986:-122.3999812>,"199 Tehama Street, San Francisco, CA 94103, USA"
<37.7834951:-122.408729>,"949 Market Street, San Francisco, CA 94102, USA"
